"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/specs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/specs/list.csv?datainfo&rowcount&base_name=dinosauria"
"Access Time","Thu 2023-03-02 21:53:56 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","dinosauria"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.491"
"Records Found","2668"
"Records Returned","2668"
"Records:"
"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specelt_no","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18630","spm","N","","0","","TMP 81.10.01","","","","femur","","1","table","","","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","","","34423"
"18631","spm","N","","0","","TMP 81.10.01","","","","tibia","","1","table","","","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","","","34423"
"18632","spm","N","","0","","TMP 81.10.01","","","","fibula","","1","table","","","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","","","34423"
"18633","spm","N","","0","","RTMP 94.12.602 (?)","","","","femur","","1","table","","unnumbered specimen, possibly the same as RTMP 94.12.602 (said to be 916 mm by Erickson et al. 2004)","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","","","34423"
"18634","spm","N","","0","","TMP","","","","tibia","","1","table","","unnumbered specimen","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","","","34423"
"18635","spm","N","","0","","TMP","","","","fibula","","1","table","","unnumbered specimen","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","","","34423"
"18636","spm","N","","0","","TMP","","","","femur","","1","table","","unnumbered specimen","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","","","34423"
"18637","spm","N","","0","","TMP","","","","tibia","","1","table","","unnumbered specimen","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","","","34423"
"18638","spm","N","","0","","TMP","","","","fibula","","1","table","","unnumbered specimen","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","","","34423"
"18639","spm","N","","0","","FMNH PR308","","","","tibia","","1","table","","","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","","","34423"
"18640","spm","N","","0","","","","","","femur","","1","table","","unnumbered specimen","Tyrannosaurus bataar","species","63705","recombined as","Tarbosaurus bataar","species","63705","","","34423"
"18641","spm","N","","0","","","","","","tibia","","1","table","","unnumbered specimen","Tyrannosaurus bataar","species","63705","recombined as","Tarbosaurus bataar","species","63705","","","34423"
"18642","spm","N","","0","","","","","","fibula","","1","table","","unnumbered specimen","Tyrannosaurus bataar","species","63705","recombined as","Tarbosaurus bataar","species","63705","","","34423"
"18643","spm","N","","0","","","","","","femur","","1","table","","unnumbered specimen","Tyrannosaurus bataar","species","63705","recombined as","Tarbosaurus bataar","species","63705","","","34423"
"18644","spm","N","","0","","","","","","tibia","","1","table","","unnumbered specimen","Tyrannosaurus bataar","species","63705","recombined as","Tarbosaurus bataar","species","63705","","","34423"
"18645","spm","N","","0","","","","","","fibula","","1","table","","unnumbered specimen","Tyrannosaurus bataar","species","63705","recombined as","Tarbosaurus bataar","species","63705","","","34423"
"18646","spm","N","","0","","TMP 81.12.1","","","","femur","","1","table","","said to be 1284 mm by Erickson et al. 2004","Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","species","54833","","","34423"
"18647","spm","N","","0","","TMP 81.12.1","","","","tibia","","1","table","","","Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","species","54833","","","34423"
"18648","spm","N","","0","","TMP 81.12.1","","","","fibula","","1","table","","","Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","species","54833","","","34423"
"18649","spm","","487166","0","48847","CM 9780 (AMNH 5027)","","","","femur","","1","table","","","Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","species","54833","72.1","66","34423"
"18650","spm","","487166","0","48847","CM 9780 (AMNH 5027)","","","","tibia","","1","table","","","Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","species","54833","72.1","66","34423"
"18651","spm","","487166","0","48847","CM 9780 (AMNH 5027)","","","","fibula","","1","table","","","Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","species","54833","72.1","66","34423"
"18652","spm","","517548","0","52481","AMNH 5438","","","","femur","","1","table","","said to be 841 mm by Erickson et al. 2004","Daspletosaurus torosus","species","57258","","Daspletosaurus torosus","species","57258","83.6","72.1","34423"
"18653","spm","","517548","0","52481","AMNH 5438","","","","tibia","","1","table","","","Daspletosaurus torosus","species","57258","","Daspletosaurus torosus","species","57258","83.6","72.1","34423"
"18654","spm","","498881","0","47346","AMNH 3041","holotype","","","femur","","1","table","","","Microvenator celer","species","65860","","Microvenator celer","species","65860","109","93.5","34423"
"18655","spm","","498881","0","47346","AMNH 3041","holotype","","","tibia","","1","table","","","Microvenator celer","species","65860","","Microvenator celer","species","65860","109","93.5","34423"
"18656","spm","N","","0","","","","","","femur","","1","table","","unnumbered specimen","Oviraptor philoceratops","species","55488","","Oviraptor philoceratops","species","55488","","","34423"
"18657","spm","N","","0","","","","","","tibia","","1","table","","unnumbered specimen","Oviraptor philoceratops","species","55488","","Oviraptor philoceratops","species","55488","","","34423"
"18658","spm","N","","0","","MCZ 4371","","","","femur","","1","table","","","Deinonychus antirrhopus","species","54555","","Deinonychus antirrhopus","species","54555","","","34423"
"18659","spm","N","","0","","TMP 88.121.39","","","","femur","","1","table","","","Saurornitholestes langstoni","species","54556","","Saurornitholestes langstoni","species","54556","","","34423"
"18660","spm","N","","0","","TMP 88.121.39","","","","tibia","","1","table","","","Saurornitholestes langstoni","species","54556","","Saurornitholestes langstoni","species","54556","","","34423"
"18661","spm","N","","0","","MOR 666","","","","tibia","","1","table","","","Saurornitholestes langstoni","species","54556","","Saurornitholestes langstoni","species","54556","","","34423"
"18662","spm","N","","0","","MOR 666","","","","fibula","","1","table","","","Saurornitholestes langstoni","species","54556","","Saurornitholestes langstoni","species","54556","","","34423"
"18665","spm","","520508","15740","53054","A.N.S.P. 15202","","","","femur","","1","table","","width is mid-shaft breadth","Hadrosauridae","family","38755","","Hadrosauridae","family","38755","72.1","66","9209"
"18666","spm","","486505","0","48725","A.N.S.P. 10005","holotype","","","femur","","1","table","","width is mid-shaft breadth","Hadrosaurus foulkii","species","52812","","Hadrosaurus foulkii","species","52812","83.5","70.6","9209"
"18667","spm","","255376","12320","24790","A.M.N.H. 5730","holotype","","","femur","","1","table","","width is mid-shaft breadth","Anatosaurus copei","species","53383","subjective synonym of","Edmontosaurus annectens","species","54239","70.6","66","9209"
"18668","spm","","486010","0","48627","Geol. Survey Canada no. 8537","holotype","","","humerus","","1","table","","width is least diameter","Thescelosaurus edmontonensis","species","64745","","Thescelosaurus edmontonensis","species","64745","70.6","66","18598"
