"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/strata_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/strata.csv?datainfo&rowcount&base_name=dinosauria"
"Access Time","Thu 2023-03-02 21:43:37 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","dinosauria"
"","timerule","major"
"Elapsed Time","1.13"
"Records Found","2399"
"Records Returned","2399"
"Records:"
"record_type","group","formation","member","lithology","max_ma","min_ma","cc_list","n_colls","n_occs"
"str","","Bacons Castle","Bahramsville","","1.806","0.781","US","1","2"
"str","","Bada","","siltstone","100.5","66","CN","1","1"
"str","","Badaowan","","siltstone","201.3","190.8","CN","1","1"
"str","","Bagua","Fundo el Triunfo","sandstone,""shale""","83.5","66","PE","5","9"
"str","","Baharîje","","sandstone,""shale"",wackestone,claystone","99.6","93.5","EG","15","26"
"str","","Bahariya","","marl,claystone","99.6","93.5","EG","3","3"
"str","","Bahía Inglesa","","sandstone/mudstone,sandstone,sandstone/conglomerate","5.333","2.588","CL","8","22"
"str","","Bahía Inglesa","Lechero","conglomerate","5.333","3.6","CL","1","1"
"str","","Bahía Inglesa","Unit 1","conglomerate","11.608","5.333","CL","1","1"
"str","","Baiying Bologai","","conglomerate","145","100.5","MN","1","2"
"str","","Bajada Colorada","","sandstone/conglomerate","145","132.9","AR","2","9"
"str","","Bajo Barreal","","","99.6","89.8","AR","1","1"
"str","","Bajo Barreal","Lower","sandstone","99.6","89.8","AR","1","2"
"str","","Balabansai","","sandstone,claystone,sandstone/siltstone,siltstone","166.1","163.5","KG,UZ","16","30"
"str","","Baltów Coral Limestones","","""limestone""","161.2","155.7","PL","1","1"
"str","","Baltów Coral Limestones","upper unit","dolomite","161.2","155.7","PL","1","2"
"str","","Bamberg","","","201.3","199.3","DE","1","1"
"str","","Bannockburn","","conglomerate","19","15.9","NZ","1","1"
"str","","Baños del Flaco","","sandstone","152.1","145","CL","1","5"
"str","","Baoding","Upper","sandstone","228","201.3","CN","1","1"
"str","","Barstow","","claystone/""carbonate""","15.97","13.6","US","1","4"
"str","","Barton Beds","","marl","41.3","33.9","UK","1","1"
"str","","Barton Clay","Naish","claystone","41.3","38","UK","1","1"
"str","","Baruungoyot","","sandstone,sandstone/mudstone,mudstone/sandstone,sandstone/conglomerate,marl/claystone","83.5","70.6","MN","38","107"
"str","","Batá","","sandstone","140.2","130","CO","1","1"
"str","","Batesford Limestone","","sandstone","23.03","11.608","AU","1","1"
